#,Question,Actual Query,involved_tables,executed,record_count,expected_answer,primary_keys
301,"Create a recursive CTE to show the full management hierarchy for all employees, including their level.","WITH Emp_CTE AS (SELECT BusinessEntityID, OrganizationNode, OrganizationLevel, JobTitle, CAST(JobTitle AS nvarchar(MAX)) AS HierarchyPath FROM HumanResources.Employee WHERE OrganizationLevel = 0 UNION ALL SELECT e.BusinessEntityID, e.OrganizationNode, e.OrganizationLevel, e.JobTitle, ecte.HierarchyPath + ' -> ' + e.JobTitle FROM HumanResources.Employee e INNER JOIN Emp_CTE ecte ON e.OrganizationNode.GetAncestor(1) = ecte.OrganizationNode) SELECT * FROM Emp_CTE;",HumanResources.Employee,success,0,,
302,"Use a recursive CTE to explode the Bill of Materials for a specific assembly (e.g., ProductID 722).","WITH BOM_CTE AS (SELECT ProductAssemblyID, ComponentID, PerAssemblyQty, BOMLevel FROM Production.BillOfMaterials WHERE ProductAssemblyID = 722 UNION ALL SELECT b.ProductAssemblyID, b.ComponentID, b.PerAssemblyQty, b.BOMLevel FROM Production.BillOfMaterials b INNER JOIN BOM_CTE cte ON b.ProductAssemblyID = cte.ComponentID) SELECT b.*, p.Name FROM BOM_CTE b JOIN Production.Product p ON b.ComponentID = p.ProductID;","Production.BillOfMaterials, Production.Product",success,27,,"[[316, 486], [324, 486], [327, 483], [331, 482], [350, 486], [399, 485], [531, 487], [532, 484], [532, 484], [533, 478]]"
303,Pivot total sales by year and territory group.,"SELECT * FROM (SELECT YEAR(soh.OrderDate) AS [Year], st.[Group], soh.TotalDue FROM Sales.SalesOrderHeader soh JOIN Sales.SalesTerritory st ON soh.TerritoryID = st.TerritoryID) AS SourceTable PIVOT (SUM(TotalDue) FOR [Group] IN ([North America], [Europe], [Pacific])) AS PivotTable;","Sales.SalesOrderHeader, Sales.SalesTerritory",success,4,,
304,Identify gaps in the sequence of sales order ID values.,"WITH Seq AS (SELECT SalesOrderID, LEAD(SalesOrderID) OVER (ORDER BY SalesOrderID) AS NextID FROM Sales.SalesOrderHeader) SELECT SalesOrderID + 1 AS GapStart, NextID - 1 AS GapEnd FROM Seq WHERE NextID - SalesOrderID > 1;",Sales.SalesOrderHeader,success,0,,
305,Extract the 'YearsExperience' from the XML resume of JobCandidates (requires XML namespace).,"WITH XMLNAMESPACES ('http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/Resume' AS res) SELECT JobCandidateID, Resume.value('(/res:Resume/res:Employment/res:Emp.Duration)[1]', 'nvarchar(max)') AS Experience FROM HumanResources.JobCandidate;",HumanResources.JobCandidate,"failed: ('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]XQuery [HumanResources.JobCandidate.Resume.value()]: There is no element named ""{http://schemas.microsoft.com/sqlserver/2004/07...",,,
306,Calculate the median list price of products within each category without using PERCENTILE_CONT.,"WITH Ranked AS (SELECT pc.Name AS Category, p.ListPrice, ROW_NUMBER() OVER (PARTITION BY pc.Name ORDER BY p.ListPrice) AS RowDesc, COUNT(*) OVER (PARTITION BY pc.Name) AS TotalCount FROM Production.Product p JOIN Production.ProductSubcategory ps ON p.ProductSubcategoryID = ps.ProductSubcategoryID JOIN Production.ProductCategory pc ON ps.ProductCategoryID = pc.ProductCategoryID) SELECT Category, AVG(ListPrice) AS Median FROM Ranked WHERE RowDesc BETWEEN TotalCount / 2.0 AND TotalCount / 2.0 + 1 GROUP BY Category;","Production.Product, Production.ProductCategory, Production.ProductSubcategory",success,4,,
307,Calculate a 3-month moving average of total sales for the entire company.,"WITH MonthlySales AS (SELECT CAST(FORMAT(OrderDate, 'yyyy-MM-01') AS date) AS MonthStart, SUM(TotalDue) AS MonthlyTotal FROM Sales.SalesOrderHeader GROUP BY FORMAT(OrderDate, 'yyyy-MM-01')) SELECT MonthStart, MonthlyTotal, AVG(MonthlyTotal) OVER (ORDER BY MonthStart ROWS BETWEEN 2 PRECEDING AND CURRENT ROW) AS MovingAvg FROM MonthlySales;",Sales.SalesOrderHeader,success,38,,
308,"Find ""Islands"" of consecutive days where at least one sales order was placed.","WITH Dates AS (SELECT DISTINCT CAST(OrderDate AS date) AS DDate FROM Sales.SalesOrderHeader), Groups AS (SELECT DDate, DATEADD(day, -ROW_NUMBER() OVER (ORDER BY DDate), DDate) AS Grp FROM Dates) SELECT MIN(DDate) AS IslandStart, MAX(DDate) AS IslandEnd, COUNT(*) AS ConsecutiveDays FROM Groups GROUP BY Grp;",Sales.SalesOrderHeader,success,4,,
309,List all possible combinations of products and territories that have never had a sale.,"SELECT p.ProductID, t.TerritoryID FROM Production.Product p CROSS JOIN Sales.SalesTerritory t EXCEPT SELECT sod.ProductID, soh.TerritoryID FROM Sales.SalesOrderHeader soh JOIN Sales.SalesOrderDetail sod ON soh.SalesOrderID = sod.SalesOrderID;","Production.Product, Sales.SalesOrderDetail, Sales.SalesOrderHeader, Sales.SalesTerritory",success,1000,,"[[1, 2], [1, 5], [1, 7], [1, 8], [1, 10], [2, 3], [2, 6], [2, 9], [3, 1], [3, 4]]"
310,Parse the 'Demographics' XML in Person.Person to extract the 'TotalPurchaseYTD' for individuals.,"WITH XMLNAMESPACES ('http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey' AS ns) SELECT BusinessEntityID, Demographics.value('(/ns:IndividualSurvey/ns:TotalPurchaseYTD)[1]', 'money') AS TotalPurchaseYTD FROM Person.Person WHERE Demographics IS NOT NULL;",Person.Person,success,1000,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
311,Calculate the month-over-month growth percentage of sales per sales person.,"WITH Sales_CTE AS (SELECT SalesPersonID, YEAR(OrderDate) AS Yr, MONTH(OrderDate) AS Mo, SUM(TotalDue) AS CurrentSales FROM Sales.SalesOrderHeader WHERE SalesPersonID IS NOT NULL GROUP BY SalesPersonID, YEAR(OrderDate), MONTH(OrderDate)), LaggedS",Sales.SalesOrderHeader,"failed: ('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near 'LaggedS'. (102) (SQLExecDirectW)"")",,,
312,Retrieve the top 1% of customers by total spend.,"SELECT * FROM (SELECT CustomerID, SUM(TotalDue) AS TotalSpent, NTILE(100) OVER (ORDER BY SUM(TotalDue) DESC) AS Percentile FROM Sales.SalesOrderHeader GROUP BY CustomerID) AS t WHERE Percentile = 1;",Sales.SalesOrderHeader,success,192,,"[29486, 29488, 29489, 29497, 29499, 29504, 29507, 29509, 29511, 29513]"
313,Find all SalesPersons who have sold products to every single store in their assigned territory.,"SELECT sp.BusinessEntityID FROM Sales.SalesPerson sp JOIN Sales.SalesOrderHeader soh ON sp.BusinessEntityID = soh.SalesPersonID JOIN Sales.Customer c ON soh.CustomerID = c.CustomerID WHERE c.StoreID IS NOT NULL GROUP BY sp.BusinessEntityID, sp.TerritoryID HAVING COUNT(DISTINCT c.StoreID) = (SELECT COUNT(*) FROM Sales.Store s JOIN Sales.Customer cust ON s.BusinessEntityID = cust.StoreID WHERE cust.TerritoryID = sp.TerritoryID);","Sales.Customer, Sales.SalesOrderHeader, Sales.SalesPerson, Sales.Store",success,0,,
314,"Use UNPIVOT to transform sales YTD, sales last year, cost YTD, and cost last year in sales territory into rows.","SELECT TerritoryID, MetricName, MetricValue FROM (SELECT TerritoryID, SalesYTD, SalesLastYear, CostYTD, CostLastYear FROM Sales.SalesTerritory) AS t UNPIVOT (MetricValue FOR MetricName IN (SalesYTD, SalesLastYear, CostYTD, CostLastYear)) AS Unpvt;",Sales.SalesTerritory,success,40,,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]"
315,Find the first order and last order date for each customer without using subqueries.,"SELECT DISTINCT CustomerID, FIRST_VALUE(OrderDate) OVER (PARTITION BY CustomerID ORDER BY OrderDate ASC) AS FirstOrder, FIRST_VALUE(OrderDate) OVER (PARTITION BY CustomerID ORDER BY OrderDate DESC) AS LastOrder FROM Sales.SalesOrderHeader;",Sales.SalesOrderHeader,success,1000,,"[11000, 11005, 11027, 11115, 11141, 11145, 11151, 11180, 11220, 11232]"
316,Identify products where the current inventory level is below the minimum reorder point across all locations.,"SELECT p.Name, p.ReorderPoint, SUM(pi.Quantity) AS TotalQty FROM Production.Product p JOIN Production.ProductInventory pi ON p.ProductID = pi.ProductID GROUP BY p.Name, p.ReorderPoint HAVING SUM(pi.Quantity) < p.ReorderPoint;","Production.Product, Production.ProductInventory",success,7,,
317,Extract the 'Telephone' info from 'AdditionalContactInfo' XML for people who have it.,"WITH XMLNAMESPACES ('http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactInfo' AS ci) SELECT BusinessEntityID, AdditionalContactInfo.value('(/ci:AdditionalContactInfo/ci:Telephone/ci:number)[1]', 'nvarchar(50)') AS Phone FROM Person.Person WHERE AdditionalContactInfo IS NOT NULL;",Person.Person,"failed: ('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]XQuery [Person.Person.AdditionalContactInfo.value()]: There is no element named ""{http://schemas.microsoft.com/sqlserver/2004/0...",,,
318,Calculate the cumulative percentage of total sales revenue contributed by each product.,"WITH Sales AS (SELECT ProductID, SUM(LineTotal) AS ProdTotal FROM Sales.SalesOrderDetail GROUP BY ProductID), Tot AS (SELECT SUM(LineTotal) AS GrandTotal FROM Sales.SalesOrderDetail) SELECT s.ProductID, (s.ProdTotal / t.GrandTotal) * 100 AS Pct, SUM(s.ProdTotal) OVER (ORDER BY s.ProdTotal DESC) / t.GrandTotal * 100 AS CumulativePct FROM Sales s CROSS JOIN Tot t;",Sales.SalesOrderDetail,success,266,,"[707, 708, 709, 710, 711, 712, 713, 714, 715, 716]"
