#,Question,Actual Query,involved_tables,executed,record_count,expected_answer,primary_keys
201,Find the total sales amount (sub total) for each sales territory name.,"SELECT st.Name, SUM(soh.SubTotal) AS TotalSales FROM Sales.SalesOrderHeader soh JOIN Sales.SalesTerritory st ON soh.TerritoryID = st.TerritoryID GROUP BY st.Name;","Sales.SalesOrderHeader, Sales.SalesTerritory",success,10,,
202,"List territories that have total sales exceeding $10,000,000.","SELECT st.Name, SUM(soh.SubTotal) AS TotalSales FROM Sales.SalesOrderHeader soh JOIN Sales.SalesTerritory st ON soh.TerritoryID = st.TerritoryID GROUP BY st.Name HAVING SUM(soh.SubTotal) > 10000000;","Sales.SalesOrderHeader, Sales.SalesTerritory",success,4,,
203,Rank employees by their vacation hours within each job title.,"SELECT JobTitle, BusinessEntityID, VacationHours, RANK() OVER(PARTITION BY JobTitle ORDER BY VacationHours DESC) AS RankInsideTitle FROM HumanResources.Employee;",HumanResources.Employee,success,290,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
204,Find all employees whose pay rate is above the average pay rate of the company.,"SELECT BusinessEntityID, Rate FROM HumanResources.EmployeePayHistory WHERE Rate > (SELECT AVG(Rate) FROM HumanResources.EmployeePayHistory);",HumanResources.EmployeePayHistory,success,103,,"[1, 2, 3, 4, 4, 5, 6, 7, 8, 9]"
205,"Show the total number of orders placed by each customer, but only for customers with more than 20 orders.","SELECT CustomerID, COUNT(*) AS OrderCount FROM Sales.SalesOrderHeader GROUP BY CustomerID HAVING COUNT(*) > 20;",Sales.SalesOrderHeader,success,14,,"[11091, 11176, 11185, 11200, 11223, 11262, 11276, 11277, 11287, 11300]"
206,List product names and their categories for products that have never been ordered.,SELECT p.Name FROM Production.Product p WHERE NOT EXISTS (SELECT 1 FROM Sales.SalesOrderDetail sod WHERE sod.ProductID = p.ProductID);,"Production.Product, Sales.SalesOrderDetail",success,238,,
207,Calculate the running total of sales (sub total) ordered by order date.,"SELECT SalesOrderID, OrderDate, SubTotal, SUM(SubTotal) OVER(ORDER BY OrderDate, SalesOrderID) AS RunningTotal FROM Sales.SalesOrderHeader;",Sales.SalesOrderHeader,success,1000,,"[43659, 43660, 43661, 43662, 43663, 43664, 43665, 43666, 43667, 43668]"
208,Get the name of the department that has the most employees.,"SELECT TOP 1 d.Name, COUNT(*) AS EmpCount FROM HumanResources.Department d JOIN HumanResources.EmployeeDepartmentHistory edh ON d.DepartmentID = edh.DepartmentID GROUP BY d.Name ORDER BY EmpCount DESC;","HumanResources.Department, HumanResources.EmployeeDepartmentHistory",success,1,,
209,Use a CTE to list employees hired in the last 5 years of the dataset's range.,"WITH RecentHires AS (SELECT * FROM HumanResources.Employee WHERE HireDate >= DATEADD(year, -5, (SELECT MAX(HireDate) FROM HumanResources.Employee))) SELECT * FROM RecentHires;",HumanResources.Employee,"failed: ('ODBC SQL type -151 is not yet supported.  column-index=3  type=-151', 'HY106')",,,
210,Find the difference between an employee's rate and the average rate of their department.,"SELECT e.BusinessEntityID, d.Name AS Dept, eph.Rate, AVG(eph.Rate) OVER(PARTITION BY d.DepartmentID) AS DeptAvg, eph.Rate - AVG(eph.Rate) OVER(PARTITION BY d.DepartmentID) AS Diff FROM HumanResources.Employee e JOIN HumanResources.EmployeePayHistory eph ON e.BusinessEntityID = eph.BusinessEntityID JOIN HumanResources.EmployeeDepartmentHistory edh ON e.BusinessEntityID = edh.BusinessEntityID JOIN HumanResources.Department d ON edh.DepartmentID = d.DepartmentID WHERE edh.EndDate IS NULL;","HumanResources.Department, HumanResources.Employee, HumanResources.EmployeeDepartmentHistory, HumanResources.EmployeePayHistory",success,316,,"[1, 2, 3, 4, 4, 4, 5, 6, 7, 8]"
